,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1801,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,Undetermined,Deliberate,,Accidental,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,Deliberate,,,,,Accidental,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,
1800,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,Undetermined,,,Undetermined,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,Accidental,,,Undetermined,,,,,,,,,,,,,,,,,,,
1603,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,Deliberate,,,Undetermined,,,,,,,,,,,,,,,,,,
KR26,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,Undetermined,,,Undetermined,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,Deliberate,,,Deliberate,,,,,,,,,,,,,,,,,,
600612,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,Accidental,,,Undetermined,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,Deliberate,,Undetermined,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,
1500,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,,
KR02,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,,
1600,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,
1200,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,
602,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,
87628,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
88284,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
502,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
88784,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
605,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
2055,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
657,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
606,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
